StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q20,Q21,Q16,Q22,Q18,Q3_1,Q3_2,Q3_3,Q3_4,Q24_1,Q24_2,Q24_3,Q24_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q19,Q8,gender,age,Q24,Condition
2020-07-30 07:14:03,2020-07-30 07:15:39,IP Address,,100,96,True,2020-07-30 07:15:40,R_Dqmb5Q0Pk1hf4Xv,,,,,,,anonymous,EN,Yes,Yes,Yes,,100,Not at all likely1,"Very likely
7","Very likely
7","Very likely
7","Very likely
7","Not at all annoyed
1","Not at all annoyed
1","Very annoyed
7","Very annoyed
7","No control at all
1",Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Not at all reasonable1,Very reasonable7,Not at all reasonable1,Not at all reasonable1,Very reasonable7,"Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Not  at all comfortable
1","Very comfortable
7","Not  at all comfortable
1","Very comfortable
7","Very comfortable
7",Somewhat flexible,"Very comfortable
7",Female,34,,2
2020-07-30 07:14:07,2020-07-30 07:15:50,IP Address,,100,102,True,2020-07-30 07:15:50,R_1OpMYaDp4RWoMt4,,,,,,,anonymous,EN,Yes,Yes,Yes,,50,5,5,5,5,4,4,5,5,4,5,4,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,4,5,Somewhat flexible,5,Male,29,,2
2020-07-30 07:13:27,2020-07-30 07:15:53,IP Address,,100,145,True,2020-07-30 07:15:53,R_3oNq9NnwJdl3tck,,,,,,,anonymous,EN,Yes,Yes,Yes,50,,2,"Very likely
7","Very likely
7",5,5,5,5,"Very annoyed
7","Very annoyed
7","No control at all
1",6,Very reasonable7,Very reasonable7,6,Not at all reasonable1,Very reasonable7,Not at all reasonable1,Very reasonable7,Very reasonable7,4,5,"Very comfortable
7",5,"Not  at all comfortable
1",4,"Not  at all comfortable
1","Very comfortable
7","Very comfortable
7",Somewhat flexible,4,Male,47,,1
2020-07-30 07:13:46,2020-07-30 07:15:53,IP Address,,100,127,True,2020-07-30 07:15:54,R_3r2qadpiGwun23M,,,,,,,anonymous,EN,Yes,Yes,Yes,75,,4,"Very likely
7",6,5,4,5,5,"Very annoyed
7","Very annoyed
7","No control at all
1",4,5,6,5,Not at all reasonable1,4,Not at all reasonable1,Not at all reasonable1,4,4,5,5,3,"Not  at all comfortable
1",4,"Not  at all comfortable
1",4,6,Somewhat flexible,3,Male,58,,1
2020-07-30 07:13:48,2020-07-30 07:15:59,IP Address,,100,131,True,2020-07-30 07:16:00,R_1eQLw3wCD0NtRi6,,,,,,,anonymous,EN,Yes,Yes,Yes,10,,2,"Very likely
7","Very likely
7","Very likely
7","Very likely
7","Not at all annoyed
1","Not at all annoyed
1",3,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,Somewhat flexible,6,Male,38,,1
2020-07-30 07:14:33,2020-07-30 07:16:00,IP Address,,100,86,True,2020-07-30 07:16:00,R_1jHRYbKypR2PrYz,,,,,,,anonymous,EN,Yes,Yes,Yes,,100,2,2,3,5,6,4,6,5,6,6,Not at all reasonable1,2,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,2,2,Not at all reasonable1,"Not  at all comfortable
1",2,"Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1",Somewhat flexible,2,Male,28,,2
2020-07-30 07:13:58,2020-07-30 07:16:02,IP Address,,100,124,True,2020-07-30 07:16:03,R_3hxykuF4SmpWIp1,,,,,,,anonymous,EN,Yes,Yes,Yes,,5,6,5,6,4,5,6,5,5,4,5,6,4,5,5,6,5,6,5,4,5,5,6,6,5,4,4,5,6,Somewhat flexible,6,Female,32,,2
2020-07-30 07:13:51,2020-07-30 07:16:04,IP Address,,100,132,True,2020-07-30 07:16:04,R_3nrb05d6uccxvLB,,,,,,,anonymous,EN,Yes,Yes,Yes,300,,5,5,5,4,6,4,4,5,3,4,4,5,5,3,4,5,3,2,4,4,3,3,4,5,4,3,4,4,Somewhat flexible,4,Male,40,,1
2020-07-30 07:13:44,2020-07-30 07:16:05,IP Address,,100,140,True,2020-07-30 07:16:05,R_3HpHJJIqU3lrV55,,,,,,,anonymous,EN,Yes,Yes,Yes,23,,Very likely7,6,"Very likely
7","Very likely
7",6,5,"Very annoyed
7","Very annoyed
7",6,6,5,Very reasonable7,Very reasonable7,6,Very reasonable7,6,6,Very reasonable7,Very reasonable7,"Very comfortable
7",5,6,5,6,6,"Very comfortable
7",6,"Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,44,,1
2020-07-30 07:14:31,2020-07-30 07:16:16,IP Address,,100,105,True,2020-07-30 07:16:17,R_3psTm5Ns3kkUypj,,,,,,,anonymous,EN,Yes,Yes,Yes,15,,Not at all likely1,"Very likely
7","Very likely
7","Very likely
7","Very likely
7","Very annoyed
7","Very annoyed
7","Very annoyed
7","Very annoyed
7","No control at all
1",2,2,Not at all reasonable1,2,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,3,"Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1",Somewhat flexible,"Not at all comfortable 
1",Male,35,,1
2020-07-30 07:13:31,2020-07-30 07:16:18,IP Address,,100,166,True,2020-07-30 07:16:19,R_OBhJa8gA01tz4fD,,,,,,,anonymous,EN,Yes,Yes,Yes,50,,3,6,6,5,5,"Very annoyed
7",4,"Very annoyed
7","Very annoyed
7",2,4,6,5,3,Not at all reasonable1,5,2,4,5,"Very comfortable
7","Very comfortable
7",6,5,"Not  at all comfortable
1",6,"Not  at all comfortable
1","Very comfortable
7","Very comfortable
7",Somewhat flexible,5,Male,28,,1
2020-07-30 07:13:57,2020-07-30 07:16:25,IP Address,,100,148,True,2020-07-30 07:16:26,R_NWKKtjLebBUVWvL,,,,,,,anonymous,EN,Yes,Yes,Yes,,5,Very likely7,5,"Very likely
7",3,4,"Very annoyed
7",6,"Very annoyed
7",6,"Very much control
7",Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,"Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,58,,2
2020-07-30 07:13:51,2020-07-30 07:16:38,IP Address,,100,167,True,2020-07-30 07:16:38,R_r3gUjzDY5bK0VUZ,,,,,,,anonymous,EN,Yes,Yes,Yes,,450,5,"Very likely
7",5,6,6,"Very annoyed
7",6,5,"Very annoyed
7",6,Very reasonable7,5,Very reasonable7,6,5,Very reasonable7,Very reasonable7,6,6,6,5,5,6,6,6,"Very comfortable
7",5,"Very comfortable
7",Somewhat flexible,"Very comfortable
7",Female,35,,2
2020-07-30 07:13:54,2020-07-30 07:16:43,IP Address,,100,168,True,2020-07-30 07:16:43,R_Z97rzyYrbRaDGEh,,,,,,,anonymous,EN,Yes,Yes,Yes,10,,Very likely7,6,6,"Very likely
7",5,5,6,"Very annoyed
7",6,"Very much control
7",6,5,Very reasonable7,5,Very reasonable7,6,6,Very reasonable7,6,"Very comfortable
7","Very comfortable
7",6,6,5,6,6,5,"Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,43,,1
2020-07-30 07:13:50,2020-07-30 07:16:46,IP Address,,100,175,True,2020-07-30 07:16:46,R_pv2cddGbL886tih,,,,,,,anonymous,EN,Yes,Yes,Yes,20,,5,"Very likely
7",5,4,6,6,6,"Very annoyed
7","Very annoyed
7",6,Very reasonable7,2,5,Very reasonable7,Very reasonable7,Very reasonable7,6,6,5,6,6,5,6,"Very comfortable
7","Very comfortable
7","Very comfortable
7",6,5,Somewhat flexible,6,Male,30,,1
2020-07-30 07:13:39,2020-07-30 07:16:45,IP Address,,100,186,True,2020-07-30 07:16:46,R_27dSrGAtkcL0mUl,,,,,,,anonymous,EN,Yes,Yes,Yes,500,,5,5,5,5,6,6,6,5,6,5,5,5,5,6,6,6,6,5,6,"Very comfortable
7",6,6,6,"Very comfortable
7","Very comfortable
7","Very comfortable
7",5,6,Somewhat flexible,5,Female,40,,1
2020-07-30 07:13:41,2020-07-30 07:16:48,IP Address,,100,186,True,2020-07-30 07:16:48,R_3J2FOp3xRoMvCu7,,,,,,,anonymous,EN,Yes,Yes,Yes,,100,6,"Not at all likely
1","Not at all likely
1","Not at all likely
1",3,"Very annoyed
7","Very annoyed
7","Very annoyed
7","Very annoyed
7",3,Not at all reasonable1,4,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,4,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,"Not  at all comfortable
1",4,"Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1",2,Somewhat flexible,"Not at all comfortable 
1",Male,29,,2
2020-07-30 07:14:18,2020-07-30 07:16:51,IP Address,,100,153,True,2020-07-30 07:16:52,R_22K9gOsHyy8kRv7,,,,,,,anonymous,EN,Yes,Yes,Yes,50,,Very likely7,6,"Very likely
7","Very likely
7",6,"Very annoyed
7",6,6,"Very annoyed
7","Very much control
7",Very reasonable7,6,6,6,Very reasonable7,6,Very reasonable7,6,6,6,6,6,6,"Very comfortable
7","Very comfortable
7","Very comfortable
7",6,"Very comfortable
7",Somewhat flexible,"Very comfortable
7",Female,49,,1
2020-07-30 07:14:52,2020-07-30 07:16:56,IP Address,,100,123,True,2020-07-30 07:16:56,R_sZizHL459p04R4B,,,,,,,anonymous,EN,Yes,Yes,Yes,25,,6,6,6,"Very likely
7",6,"Very annoyed
7",6,6,6,6,6,6,6,Very reasonable7,6,Very reasonable7,Very reasonable7,Very reasonable7,6,"Very comfortable
7","Very comfortable
7",6,6,6,6,6,6,"Very comfortable
7",Somewhat flexible,6,Female,25,,1
2020-07-30 07:13:43,2020-07-30 07:16:59,IP Address,,100,196,True,2020-07-30 07:16:59,R_1rkPB4myVQzTfQz,,,,,,,anonymous,EN,Yes,Yes,Yes,,495,Very likely7,6,6,"Very likely
7","Very likely
7",6,6,"Very annoyed
7","Very annoyed
7","Very much control
7",Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,Very reasonable7,6,Very reasonable7,6,6,"Very comfortable
7",6,6,"Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7",6,Somewhat flexible,"Very comfortable
7",Male,43,,2
2020-07-30 07:14:00,2020-07-30 07:17:00,IP Address,,100,180,True,2020-07-30 07:17:01,R_cvwgGt56Rl9kx5D,,,,,,,anonymous,EN,Yes,Yes,Yes,,25,Very likely7,4,4,4,4,4,4,4,4,"Very much control
7",6,6,6,6,6,6,6,6,6,"Very comfortable
7","Very comfortable
7","Very comfortable
7",3,5,"Very comfortable
7",6,"Very comfortable
7","Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,29,,2
2020-07-30 07:14:36,2020-07-30 07:17:01,IP Address,,100,145,True,2020-07-30 07:17:02,R_PUmKNclgkzhVNMB,,,,,,,anonymous,EN,Yes,Yes,Yes,,10,4,4,6,4,5,5,6,4,5,3,6,4,6,4,4,5,6,5,6,6,4,5,2,4,2,"Very comfortable
7",5,4,Somewhat flexible,5,Female,54,,2
2020-07-30 07:13:41,2020-07-30 07:17:03,IP Address,,100,202,True,2020-07-30 07:17:03,R_phIEClV0OGAkpxL,,,,,,,anonymous,EN,Yes,Yes,Yes,,5,Very likely7,6,"Very likely
7","Very likely
7",6,"Very annoyed
7",6,"Very annoyed
7",6,"Very much control
7",Very reasonable7,6,Very reasonable7,6,Very reasonable7,Very reasonable7,6,Very reasonable7,6,6,6,6,"Very comfortable
7",6,"Very comfortable
7","Very comfortable
7","Very comfortable
7","Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,61,,2
2020-07-30 07:14:25,2020-07-30 07:17:08,IP Address,,100,162,True,2020-07-30 07:17:08,R_p49GdIEaBOP0mg9,,,,,,,anonymous,EN,Yes,Yes,Yes,,5,6,5,6,5,6,"Very annoyed
7",6,5,6,6,Very reasonable7,6,6,Very reasonable7,Very reasonable7,Very reasonable7,5,Very reasonable7,Very reasonable7,"Very comfortable
7",5,5,6,5,5,6,"Very comfortable
7","Very comfortable
7",Somewhat flexible,5,Male,30,,2
2020-07-30 07:13:44,2020-07-30 07:17:17,IP Address,,100,212,True,2020-07-30 07:17:18,R_3iyZvGngFT7ndpn,,,,,,,anonymous,EN,Yes,Yes,Yes,,98,6,6,6,"Very likely
7","Very likely
7","Very annoyed
7","Very annoyed
7",6,6,6,6,Very reasonable7,Very reasonable7,6,Very reasonable7,6,Very reasonable7,6,6,6,"Very comfortable
7","Very comfortable
7",6,6,6,6,"Very comfortable
7","Very comfortable
7",Somewhat flexible,"Very comfortable
7",Male,27,,2
2020-07-30 07:13:47,2020-07-30 07:17:20,IP Address,,100,212,True,2020-07-30 07:17:21,R_USDMskofNXyodTH,,,,,,,anonymous,EN,Yes,Yes,Yes,,500,6,5,6,6,5,5,6,6,6,6,Very reasonable7,6,5,5,6,6,6,6,5,6,"Very comfortable
7","Very comfortable
7",5,6,5,6,6,"Very comfortable
7",Somewhat flexible,"Very comfortable
7",Female,25,,2
2020-07-30 07:13:56,2020-07-30 07:17:22,IP Address,,100,206,True,2020-07-30 07:17:23,R_3JsEAk1qVFPhxS9,,,,,,,anonymous,EN,Yes,Yes,Yes,100,,2,6,5,"Very likely
7",5,4,5,"Very annoyed
7",6,5,Very reasonable7,6,6,6,Very reasonable7,Very reasonable7,Very reasonable7,6,Very reasonable7,"Very comfortable
7","Very comfortable
7",6,"Very comfortable
7","Very comfortable
7",6,6,"Very comfortable
7",6,Somewhat flexible,6,Male,26,,1
2020-07-30 07:15:28,2020-07-30 07:17:26,IP Address,,100,118,True,2020-07-30 07:17:27,R_1H0IRkecctb2WOi,,,,,,,anonymous,EN,Yes,Yes,Yes,200,,6,5,6,6,"Very likely
7","Very annoyed
7",5,6,6,6,6,6,6,6,6,Very reasonable7,Very reasonable7,6,6,6,6,6,6,6,6,5,"Very comfortable
7",6,Somewhat flexible,6,Male,30,,1
2020-07-30 07:14:08,2020-07-30 07:17:30,IP Address,,100,202,True,2020-07-30 07:17:30,R_1OoS9xObJysQ9TF,,,,,,,anonymous,EN,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30 07:16:05,2020-07-30 07:17:31,IP Address,,100,86,True,2020-07-30 07:17:32,R_12FuU4NSgPbjRXe,,,,,,,anonymous,EN,Yes,Yes,Yes,,50,5,4,5,3,5,5,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,4,Somewhat flexible,5,Male,29,,2
2020-07-30 07:14:51,2020-07-30 07:17:35,IP Address,,100,163,True,2020-07-30 07:17:35,R_1KpQDxTecqzdf0F,,,,,,,anonymous,EN,Yes,Yes,Yes,1,,3,2,"Not at all likely
1","Not at all likely
1","Not at all likely
1",4,4,6,5,4,6,3,Very reasonable7,4,5,3,5,2,4,4,4,5,5,3,6,4,5,"Very comfortable
7",Somewhat flexible,4,Male,30,,1
2020-07-30 07:13:55,2020-07-30 07:17:35,IP Address,,100,219,True,2020-07-30 07:17:35,R_1irIkANQX41Yn6w,,,,,,,anonymous,EN,Yes,Yes,Yes,50,,6,"Very likely
7",6,5,6,5,6,6,"Very annoyed
7",6,6,Very reasonable7,6,Very reasonable7,6,Very reasonable7,4,5,6,6,"Very comfortable
7",5,6,5,5,6,6,"Very comfortable
7",Somewhat flexible,5,Male,37,,1
2020-07-30 07:15:05,2020-07-30 07:17:36,IP Address,,100,150,True,2020-07-30 07:17:36,R_3L6Zz4ZvsS7cTiD,,,,,,,anonymous,EN,Yes,Yes,Yes,,3,6,6,6,5,4,5,6,5,6,6,6,6,5,6,Very reasonable7,5,6,6,6,5,6,5,6,6,6,"Very comfortable
7",5,6,Somewhat flexible,6,Male,28,,2
2020-07-30 07:13:41,2020-07-30 07:17:36,IP Address,,100,235,True,2020-07-30 07:17:37,R_57j9e7WTfrLB5bb,,,,,,,anonymous,EN,Yes,Yes,Yes,,50,Very likely7,4,6,5,"Very likely
7",6,5,4,"Very annoyed
7","Very much control
7",6,4,6,Very reasonable7,5,4,6,Very reasonable7,5,6,"Very comfortable
7",5,5,6,6,"Very comfortable
7",4,4,Somewhat flexible,"Very comfortable
7",Female,68,,2
2020-07-30 07:13:56,2020-07-30 07:17:37,IP Address,,100,220,True,2020-07-30 07:17:37,R_3MtzXxexM3USUb7,,,,,,,anonymous,EN,Yes,Yes,Yes,25,,6,"Very likely
7",5,6,6,5,6,"Very annoyed
7",5,6,Very reasonable7,Very reasonable7,5,Very reasonable7,4,6,3,6,6,6,"Very comfortable
7",5,"Very comfortable
7",4,"Very comfortable
7",6,3,4,Somewhat flexible,"Very comfortable
7",Male,52,,1
2020-07-30 07:15:54,2020-07-30 07:17:37,IP Address,,100,102,True,2020-07-30 07:17:37,R_uss1ceUGD2LBlZf,,,,,,,anonymous,EN,Yes,Yes,Yes,,100,6,"Very likely
7",6,"Very likely
7",6,"Very annoyed
7",6,6,"Very annoyed
7","No control at all
1",5,4,5,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,2,2,5,5,2,4,"Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1",Somewhat flexible,3,Male,37,,2
